Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AMZN,F,GOOG,QQQ,RHI,SPY,AMZN,F,GOOG,QQQ,RHI,SPY,AMZN,F,GOOG,QQQ,RHI,SPY,AMZN,F,GOOG,QQQ,RHI,SPY,AMZN,F,GOOG,QQQ,RHI,SPY,AMZN,F,GOOG,QQQ,RHI,SPY
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-21,90.96299743652344,6.922139644622803,61.57699966430664,176.74574279785156,59.56499099731445,262.7370300292969,90.96299743652344,8.6899995803833,61.57699966430664,182.57000732421875,66.37000274658203,284.7300109863281,91.1875,8.6899995803833,61.589500427246094,182.8300018310547,66.68000030517578,285.17999267578125,89.36399841308594,8.489999771118164,60.657501220703125,179.1999969482422,64.66000366210938,280.5899963378906,89.81300354003906,8.5,60.79999923706055,179.22000122070312,64.91000366210938,280.6400146484375,115356000,46843100,24080000,42428500,912900,79550400
2019-03-22,88.2385025024414,6.8026556968688965,60.275001525878906,172.86366271972656,57.19567108154297,257.68035888671875,88.2385025024414,8.539999961853027,60.275001525878906,178.55999755859375,63.72999954223633,279.25,90.9489974975586,8.670000076293945,61.5,182.27000427246094,66.25,283.79998779296875,88.15550231933594,8.520000457763672,60.14125061035156,178.3699951171875,63.709999084472656,279.17999267578125,90.50849914550781,8.630000114440918,61.316001892089844,181.77999877929688,66.19999694824219,283.2200012207031,127260000,41964000,34284000,70794500,1122900,122659300
2019-03-25,88.71299743652344,6.778759479522705,59.650001525878906,172.5344696044922,56.67514419555664,257.4866027832031,88.71299743652344,8.510000228881836,59.650001525878906,178.22000122070312,63.150001525878906,279.0400085449219,89.13400268554688,8.649999618530273,60.31990051269531,178.83999633789062,63.560001373291016,280.19000244140625,87.375,8.470000267028809,59.35200119018555,176.92999267578125,62.150001525878906,277.6400146484375,87.8895034790039,8.5600004196167,59.846500396728516,177.91000366210938,63.31999969482422,278.8699951171875,102076000,45849500,29936000,46336500,1018700,85575200
2019-03-26,89.18800354003906,6.977899551391602,59.23099899291992,173.33802795410156,56.98925018310547,259.4058532714844,89.18800354003906,8.760000228881836,59.23099899291992,179.0500030517578,63.5,281.1199951171875,90.28849792480469,8.760000228881836,60.14149856567383,180.69000244140625,63.91999816894531,282.17999267578125,88.66799926757812,8.539999961853027,58.83599853515625,178.13999938964844,63.029998779296875,279.55999755859375,89.6500015258789,8.539999961853027,59.92649841308594,179.60000610351562,63.810001373291016,280.989990234375,97318000,47852100,38024000,33248100,850800,68125900
2019-03-27,88.28500366210938,6.866380214691162,58.6510009765625,172.22471618652344,56.74692916870117,258.0494079589844,88.28500366210938,8.619999885559082,58.6510009765625,177.89999389648438,63.22999954223633,279.6499938964844,89.375,8.859999656677246,59.37794876098633,179.72000122070312,63.84000015258789,281.760009765625,87.28399658203125,8.619999885559082,57.96849822998047,176.60000610351562,62.31999969482422,277.92999267578125,89.20649719238281,8.75,59.275001525878906,179.32000732421875,63.310001373291016,281.1099853515625,86496000,39895800,28004000,37096700,857600,72224700
2019-03-28,88.6709976196289,6.985865592956543,58.42449951171875,172.6216278076172,57.84184646606445,259.0275573730469,88.6709976196289,8.770000457763672,58.42449951171875,178.30999755859375,64.44999694824219,280.7099914550781,88.89649963378906,8.829999923706055,58.578250885009766,178.97999572753906,64.6500015258789,281.2099914550781,87.67350006103516,8.640000343322754,57.97154998779297,177.24000549316406,63.34000015258789,279.07000732421875,88.5,8.649999618530273,58.57699966430664,178.36000061035156,63.34000015258789,280.3500061035156,60860000,38914700,19234000,30368200,1003000,56238500
2019-03-29,89.0374984741211,6.993830680847168,58.66550064086914,173.92857360839844,58.47904968261719,260.66082763671875,89.0374984741211,8.779999732971191,58.66550064086914,179.66000366210938,65.16000366210938,282.4800109863281,89.64299774169922,8.890000343322754,58.949501037597656,179.8300018310547,65.48999786376953,282.8399963378906,88.83149719238281,8.710000038146973,58.14400100708008,178.58999633789062,64.73999786376953,281.1400146484375,89.3290023803711,8.800000190734863,58.744998931884766,179.69000244140625,64.94999694824219,282.3900146484375,66416000,33962800,25398000,35205500,982800,82186800
2019-04-01,90.70950317382812,7.153143405914307,59.721500396728516,176.23263549804688,59.74447250366211,263.75201416015625,90.70950317382812,8.979999542236328,59.721500396728516,182.0399932861328,66.56999969482422,285.8299865722656,90.78350067138672,9.0,59.83300018310547,182.25999450683594,66.72000122070312,286.1600036621094,89.9365005493164,8.859999656677246,59.099998474121094,180.77000427246094,65.55000305175781,284.3999938964844,90.00550079345703,8.859999656677246,59.20500183105469,181.50999450683594,65.8499984741211,284.70001220703125,84776000,45653100,25050000,30969500,1180600,77617900
