Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AMZN,F,GOOG,QQQ,RHI,SPY,AMZN,F,GOOG,QQQ,RHI,SPY,AMZN,F,GOOG,QQQ,RHI,SPY,AMZN,F,GOOG,QQQ,RHI,SPY,AMZN,F,GOOG,QQQ,RHI,SPY
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,97.69750213623047,5.6821184158325195,69.20683288574219,209.89019775390625,45.32572555541992,286.5648193359375,97.72550201416016,5.705794075436219,69.29452287556465,210.0356808494225,45.32572555541992,286.62972482124803,93.5,5.429580053722887,66.10323821864563,199.72640330642577,43.54180871905656,273.00098758531703,95.32450103759766,5.611092189645107,67.33854576838041,202.57770031707452,45.006217253832205,276.4777033808519,135234000,96766000,48630000,112933900,1438800,238703600
2020-03-03,95.44950103759766,5.500606536865234,66.82937622070312,203.15960693359375,42.991546630859375,278.35980224609375,99.81649780273438,5.7926045961626365,70.2550631453751,212.98397132256542,45.982496968044565,290.96869890428064,94.40450286865234,5.437471943388561,66.36155187083929,201.35572589195598,42.70753997949851,275.8843961075198,98.76850128173828,5.753145287083786,69.72048493834501,210.55940082565468,45.192599871719196,286.94498267173964,150690000,97457800,48046000,131953500,1560700,300139100
2020-03-04,98.79149627685547,5.58741569519043,69.07779693603516,211.6359100341797,44.53583526611328,290.06011962890625,98.9000015258789,5.595307705983083,69.1560223385628,211.7425917276351,44.66896486367367,290.2826487195048,96.0999984741211,5.461146533002285,66.91507361334381,204.99258097475487,42.7164166180036,281.2246254289051,97.32849884033203,5.595307705983083,67.71818774596102,206.8837577949558,43.737064452003516,283.8113103684838,95458000,70588100,38266000,73086200,1544700,176613400
2020-03-05,96.20149993896484,5.319095134735107,65.71588134765625,205.20594787597656,42.325897216796875,280.4179992675781,98.03600311279297,5.500607304466206,67.70224395246086,209.83203259190847,43.95893683893914,285.99002519387477,95.5,5.295419847033437,65.02137055188088,203.76091331071947,42.068518566422405,278.1465617782972,96.6500015258789,5.492715667336286,67.26830203993596,206.2727648288008,43.1157941602759,282.75437053991976,94964000,78070900,51226000,78705500,1286500,186366800
2020-03-06,95.05449676513672,5.121797561645508,64.68807220458984,201.74365234375,43.54180908203125,275.7824401855469,95.54350280761719,5.2717423789188365,65.07716944684681,202.83954807098226,43.61280904651703,277.00625129088274,93.4749984741211,5.050771346535247,62.82676002012818,196.78782999283393,40.92361979511277,269.0793482960723,93.75,5.208607798237811,63.624393022283726,198.49472217926498,41.065623109710415,271.78653593607663,105472000,109932200,53212000,89828400,2087200,228667200
2020-03-09,90.03050231933594,4.656179904937744,60.56039810180664,187.72962951660156,39.64558029174805,254.24526977539062,93.13849639892578,4.845583649583016,62.513379856277695,195.09062113013184,42.27264627368558,263.4794185301131,88.06449890136719,4.63250424870119,59.7851836751192,186.31367400120521,39.13969335210775,253.52211405894099,88.69300079345703,4.71142247563672,60.0492342948513,187.64233374216596,40.6839821159114,255.2372711281212,156264000,103901700,67308000,116424000,2005500,309417300
2020-03-10,94.59100341796875,4.940286636352539,63.7902946472168,197.95167541503906,42.689781188964844,267.40118408203125,94.7135009765625,4.96396191981466,63.82816060450684,198.13594517887645,42.71640913518818,267.49387387058397,90.90850067138672,4.57726236189735,60.72032413320116,187.8363575028033,38.90006750595521,253.56847805833638,93.54399871826172,4.940286636352539,62.77444398655538,195.04219021358247,41.07449239061217,263.8966556084346,142666000,101873600,52228000,100599200,1695900,276444100
2020-03-11,91.04299926757812,4.656179904937744,60.55292892456055,189.32984924316406,41.278621673583984,254.36587524414062,93.56600189208984,4.821908369658252,62.822275144351416,194.69299763294148,41.811136581716134,261.3934951026014,90.07499694824219,4.640396259550638,59.58939193197648,186.9149718653977,40.74611015107753,251.13949995245284,92.89250183105469,4.782449068034592,62.261291077239086,193.33524416656854,41.34962501558522,260.2438697268134,112496000,98587100,52170000,89168800,1937800,255316300
2020-03-12,83.83049774169922,4.2221293449401855,55.545921325683594,171.9699249267578,38.660438537597656,230.02883911132812,88.25,4.490451708886856,59.47978874240491,185.02380279972832,40.843740659027695,247.2269998344369,83.75,4.103751809298313,55.46571177809637,171.60138551513023,38.04804652346115,229.6301682566486,86.0989990234375,4.245805002593285,56.09843670942591,176.5959942855457,38.837940132672564,237.3438501778921,226924000,89453100,84534000,137820700,1798800,392220700
2020-03-13,89.25,4.443100929260254,60.76815414428711,186.53672790527344,41.917633056640625,249.6931915283203,89.31549835205078,4.65618035053376,60.769647952918845,188.612159388401,41.96200844712399,251.6957839590255,84.03099822998047,4.040617368903728,55.65716963315186,172.75547928272687,39.237318166816884,230.40899798699195,87.75,4.632504692031448,58.73894625394374,181.4257446182605,40.7816068092651,243.91719537456973,176194000,125375300,74002000,134882000,1719400,329566100
2020-03-16,84.4574966430664,3.9538075923919678,54.02239227294922,164.19190979003906,38.55393981933594,222.37078857421875,87.97250366210938,4.119535700570325,57.407081382695296,179.10785676818162,40.036102756973335,238.17824796226208,81.30149841308594,3.945915580601085,53.52966348290674,164.05613444011902,36.86765069112372,220.0622437713053,82.07550048828125,3.9774828751409466,54.60380312270381,168.8955674681574,37.133906512880756,223.6038515525044,178346000,110310900,85048000,92054400,1457900,297240000
2020-03-17,90.39199829101562,3.9538075923919678,55.78954315185547,176.64453125,36.78776931762695,234.37705993652344,92.88899993896484,4.056401111490602,56.34056086815719,178.82664499022377,39.663337274395914,237.50147890148386,84.46199798583984,3.709160495240286,52.6114596712959,164.65745251176787,35.536364054183295,219.79339653886174,88.77349853515625,4.009050169680808,54.45981784071647,170.17577807145648,39.290579844514255,227.1825652688413,218342000,104233500,77230000,121257100,1649200,262070500
2020-03-18,91.5,3.551323890686035,54.64365768432617,171.2716827392578,34.950592041015625,222.50987243652344,92.08300018310547,3.8196462606243182,55.126921857466215,173.8126281355242,35.45647894444272,230.26989971077225,87.25,3.235650580696024,51.6783108595846,161.76736249285545,31.888642677476398,211.40292526517004,87.5,3.7486196623908152,52.63637048966399,166.43223422196053,34.40920347070322,219.03315567970276,192904000,125954700,84668000,114156300,1486100,327597100
2020-03-19,94.04650115966797,3.527648448944092,55.564849853515625,172.2996826171875,33.90332794189453,222.9827117919922,97.25,3.614458699187771,57.69120851467344,177.95378283356942,36.26413541181728,229.35206682364282,91.63249969482422,3.2356507792202582,52.81563000992744,166.45161971930034,32.58979629707393,215.29685579474065,93.0,3.417162915377855,54.456831557327384,170.38911986763256,34.21395916729498,221.81453999708035,207998000,126603800,73022000,120896500,1235800,289322000
2020-03-20,92.30449676513672,3.4171628952026367,53.42404556274414,165.5496826171875,31.06325340270996,213.3734588623047,97.8499984741211,3.748619870256241,56.99471585428309,177.35249087928452,34.48020992275768,227.98692767820097,91.0364990234375,3.35402830496611,53.08376886721932,164.96779453462463,30.51299100469436,213.0936831281744,96.31549835205078,3.582891382729439,56.58269453030905,176.2565949978422,34.48020992275768,226.17772739147492,196358000,129378600,72036000,118983900,1565900,347158800
2020-03-23,95.1415023803711,3.1646244525909424,52.64185333251953,165.6692352294922,30.326614379882812,207.91786193847656,95.97000122070312,3.567107643118327,53.374222460318244,169.31384163358226,31.631272341460825,214.19409581010046,90.5999984741211,3.125165146555471,50.49536439498534,160.2946420087146,28.737953135314253,203.54407726275934,91.38749694824219,3.3698118655646323,52.87601258301732,166.1162986436267,30.708248975642007,212.8045663726438,156170000,134925000,80882000,124639800,1917700,326025200
2020-03-24,97.00499725341797,3.906456470489502,56.51991653442383,178.4982147216797,34.77309036254883,226.75588989257812,97.75,3.9380237666149718,56.54682029314317,178.66343506937454,35.03934611797882,227.64184863747488,95.01699829101562,3.36192042416922,54.33576312451831,172.94868850937908,31.43600784524097,218.03631124687172,97.57499694824219,3.5276485406720104,54.99091032045878,174.8536089726905,31.746642381263978,218.61450391829229,142942000,146192100,66890000,94881800,2136900,235494500
2020-03-25,94.29199981689453,4.253696441650391,54.92714309692383,177.17648315429688,35.38548278808594,230.15045166015625,97.51300048828125,4.632504312466961,57.23933464646578,184.18383865730578,37.693040819305,239.06589121465447,94.28900146484375,4.040617037835557,54.1060918807709,174.92167935991304,32.93592483177368,223.58512211452359,96.03450012207031,4.553586084445133,56.12185173507094,179.23689606093254,34.826346656543805,228.35990723862008,129582000,198999400,81630000,88754900,1974300,299430300
2020-03-26,97.77449798583984,4.143211364746094,57.87953567504883,186.5066375732422,38.57168197631836,243.5889129638672,97.82450103759766,4.458884686846258,58.28906350653857,187.30359856172439,38.82906401318449,245.08101210449942,94.4645004272461,4.072184763787802,54.48074469302241,178.44963485058756,34.471333764501274,232.2581036824026,95.0999984741211,4.230021612993802,55.39097589821836,178.70232220233203,35.88249302634832,232.6964156314542,124426000,138227600,71434000,79887600,2098100,257632800
2020-03-27,95.00499725341797,4.095860481262207,55.336669921875,180.09210205078125,34.62221908569336,236.33346557617188,96.989501953125,4.1826707307473505,57.32751772461685,185.1556654472133,37.61316957099873,243.2252033197618,94.99600219726562,3.8748890397487084,55.09753130474649,179.47008999738256,34.47134202589758,234.1232644732971,96.54299926757812,4.001158596175782,56.081993007373114,181.67628042572358,36.912026634517545,236.19358483421166,107758000,106324000,64170000,58845000,1697300,224341200
2020-03-30,98.19750213623047,3.9695911407470703,57.135704040527344,186.64268493652344,35.775997161865234,244.00856018066406,98.68150329589844,4.0406173635360005,57.3753443873021,187.0800494934435,37.24040578060151,244.73596848763387,95.61699676513672,3.890672530052086,54.62771725234835,181.1028871249041,34.62221636539719,236.43604589273016,96.1415023803711,4.032725728253597,56.05060224191167,181.80265262004957,34.781970525350424,238.45973456519582,122522000,97879700,51482000,49356900,1952800,171369500
